review_date,category,product_url,complaint_type,keyword,count,platform
2022-01-01,Toys,https://www.coupang.com/vp/products/282728145,transaction,배송,1,coupang
2022-01-02,Beauty,https://www.coupang.com/vp/products/1858130290,fit,트러블,1,coupang
2022-01-02,Pet,https://www.coupang.com/vp/products/8837486207,defect,새는,1,coupang
2022-01-02,Pet,https://www.coupang.com/vp/products/8837486207,defect,하자,1,coupang
2022-01-03,Appliances,https://www.coupang.com/vp/products/1477648197,defect,고장,1,coupang
2022-01-03,Appliances,https://www.coupang.com/vp/products/1477648197,usability,설치,1,coupang
2022-01-03,Pet,https://www.coupang.com/vp/products/9050672939,fit,구토,1,coupang
2022-01-06,Appliances,https://www.coupang.com/vp/products/71420158,defect,새는,1,coupang
2022-01-06,Pet,https://www.coupang.com/vp/products/1694214602,fit,너무 작아,1,coupang
2022-01-06,Pet,https://www.coupang.com/vp/products/6714055947,fit,설사,1,coupang
2022-01-06,Pet,https://www.coupang.com/vp/products/6714055947,fit,알러지,1,coupang
2022-01-06,Pet,https://www.coupang.com/vp/products/6714055947,transaction,반품,1,coupang
2022-01-06,Toys,https://www.coupang.com/vp/products/1187739577,fit,불편해요,1,coupang
2022-01-11,Appliances,https://www.coupang.com/vp/products/8380195351,defect,불량,1,coupang
2022-01-11,Appliances,https://www.coupang.com/vp/products/8380195351,transaction,교환,1,coupang
2022-01-11,Appliances,https://www.coupang.com/vp/products/8380195351,transaction,반품,1,coupang
2022-01-11,Appliances,https://www.coupang.com/vp/products/8380195351,usability,설치,1,coupang
2022-01-11,Toys,https://www.coupang.com/vp/products/6062578757,defect,불량,1,coupang
2022-01-16,Pet,https://www.coupang.com/vp/products/5807012893,defect,고장,1,coupang
2022-01-18,Baby,https://www.coupang.com/vp/products/320440826,defect,내구성,1,coupang
2022-01-18,Baby,https://www.coupang.com/vp/products/320440826,usability,소음,1,coupang
2022-01-20,Baby,https://www.coupang.com/vp/products/8562246734,transaction,택배,1,coupang
2022-01-21,Baby,https://www.coupang.com/vp/products/2994788,usability,설치,1,coupang
2022-01-24,Toys,https://www.coupang.com/vp/products/2289803444,transaction,반품,1,coupang
2022-01-26,Toys,https://www.coupang.com/vp/products/1082640,transaction,배송,1,coupang
2022-01-29,Toys,https://www.coupang.com/vp/products/1082640,defect,불량,1,coupang
2022-01-29,Toys,https://www.coupang.com/vp/products/1082640,usability,설명서,1,coupang
2022-01-29,Toys,https://www.coupang.com/vp/products/1082640,usability,조작,1,coupang
2022-02-03,Baby,https://www.coupang.com/vp/products/6687052162,transaction,배송,1,coupang
2022-02-03,Baby,https://www.coupang.com/vp/products/6687052162,transaction,배송비,1,coupang
2022-02-04,Appliances,https://www.coupang.com/vp/products/6962756962,usability,설치,1,coupang
2022-02-04,Toys,https://www.coupang.com/vp/products/1187739577,fit,너무 작아,1,coupang
2022-02-05,Appliances,https://www.coupang.com/vp/products/6962756962,usability,설치,1,coupang
2022-02-05,Appliances,https://www.coupang.com/vp/products/6962756962,usability,연결,1,coupang
2022-02-05,Toys,https://www.coupang.com/vp/products/1487745808,defect,불량,1,coupang
2022-02-06,Toys,https://www.coupang.com/vp/products/53060840,transaction,배송,1,coupang
2022-02-08,Toys,https://www.coupang.com/vp/products/1925940420,usability,설명서,1,coupang
2022-02-09,Appliances,https://www.coupang.com/vp/products/6962756962,defect,불량,1,coupang
2022-02-09,Appliances,https://www.coupang.com/vp/products/6962756962,transaction,배송,1,coupang
2022-02-09,Pet,https://www.coupang.com/vp/products/23614798,transaction,배송,1,coupang
2022-02-12,Pet,https://www.coupang.com/vp/products/6083804462,transaction,배송,1,coupang
2022-02-14,Appliances,https://www.coupang.com/vp/products/5756492913,transaction,배송,1,coupang
2022-02-15,Appliances,https://www.coupang.com/vp/products/6962756962,defect,불량,1,coupang
2022-02-15,Appliances,https://www.coupang.com/vp/products/6962756962,transaction,배송,1,coupang
2022-02-15,Appliances,https://www.coupang.com/vp/products/6962756962,usability,설치,1,coupang
2022-02-15,Pet,https://www.coupang.com/vp/products/6239396084,fit,거부,1,coupang
2022-02-18,Pet,https://www.coupang.com/vp/products/1768986274,usability,설치,1,coupang
2022-02-21,Pet,https://www.coupang.com/vp/products/6083804462,fit,안먹어,1,coupang
2022-02-21,Pet,https://www.coupang.com/vp/products/6083804462,transaction,배송,1,coupang
2022-02-21,Toys,https://www.coupang.com/vp/products/1448655691,defect,찢어져,1,coupang
2022-02-21,Toys,https://www.coupang.com/vp/products/1448655691,transaction,교환,1,coupang
2022-02-23,Toys,https://www.coupang.com/vp/products/22443027,transaction,배송,1,coupang
2022-02-24,Pet,https://www.coupang.com/vp/products/6083804462,transaction,배송,1,coupang
2022-02-25,Appliances,https://www.coupang.com/vp/products/9859020,transaction,배송,1,coupang
2022-02-25,Toys,https://www.coupang.com/vp/products/9859020,transaction,배송,1,coupang
2022-02-26,Pet,https://www.coupang.com/vp/products/1768986274,transaction,배송,1,coupang
2022-02-27,Appliances,https://www.coupang.com/vp/products/6962756962,defect,고장,1,coupang
2022-02-27,Appliances,https://www.coupang.com/vp/products/6962756962,defect,하자,1,coupang
2022-02-27,Appliances,https://www.coupang.com/vp/products/6962756962,transaction,배송,1,coupang
2022-02-28,Appliances,https://www.coupang.com/vp/products/8993392563,transaction,배송,1,coupang
2022-02-28,Appliances,https://www.coupang.com/vp/products/8993392563,usability,호환,1,coupang
2022-03-01,Appliances,https://www.coupang.com/vp/products/8993392563,transaction,배송,1,coupang
2022-03-01,Appliances,https://www.coupang.com/vp/products/8993392563,usability,호환,3,coupang
2022-03-02,Appliances,https://www.coupang.com/vp/products/8993392563,transaction,배송,1,coupang
2022-03-02,Appliances,https://www.coupang.com/vp/products/8993392563,usability,호환,1,coupang
2022-03-02,Toys,https://www.coupang.com/vp/products/340063305,transaction,배송,1,coupang
2022-03-04,Toys,https://www.coupang.com/vp/products/1487745808,defect,기스,1,coupang
2022-03-05,Appliances,https://www.coupang.com/vp/products/177947971,defect,불량,1,coupang
2022-03-05,Appliances,https://www.coupang.com/vp/products/177947971,defect,불량품,1,coupang
2022-03-05,Appliances,https://www.coupang.com/vp/products/177947971,transaction,교환,1,coupang
2022-03-05,Appliances,https://www.coupang.com/vp/products/6962756962,usability,어댑터,1,coupang
2022-03-05,Appliances,https://www.coupang.com/vp/products/6962756962,usability,연결,1,coupang
2022-03-06,Appliances,https://www.coupang.com/vp/products/6262134247,transaction,배송,1,coupang
2022-03-08,Appliances,https://www.coupang.com/vp/products/2117853371,transaction,배송,1,coupang
2022-03-08,Appliances,https://www.coupang.com/vp/products/2117853371,usability,연결,1,coupang
2022-03-10,Pet,https://www.coupang.com/vp/products/8182397586,fit,거부,1,coupang
2022-03-15,Toys,https://www.coupang.com/vp/products/1619405171,usability,오류,1,coupang
2022-03-16,Beauty,https://www.coupang.com/vp/products/8291649677,defect,가루날림,1,coupang
2022-03-16,Pet,https://www.coupang.com/vp/products/9050672939,defect,빠짐,1,coupang
2022-03-17,Pet,https://www.coupang.com/vp/products/8837486207,fit,아파서,1,coupang
2022-03-18,Pet,https://www.coupang.com/vp/products/6322253831,defect,하자,1,coupang
2022-03-18,Pet,https://www.coupang.com/vp/products/6322253831,fit,너무 작아,1,coupang
2022-03-18,Pet,https://www.coupang.com/vp/products/6322253831,transaction,반품,1,coupang
2022-03-19,Appliances,https://www.coupang.com/vp/products/6962756962,defect,파손,1,coupang
2022-03-19,Appliances,https://www.coupang.com/vp/products/6962756962,transaction,배송,1,coupang
2022-03-19,Appliances,https://www.coupang.com/vp/products/6962756962,transaction,택배,1,coupang
2022-03-19,Appliances,https://www.coupang.com/vp/products/6962756962,usability,연결,1,coupang
2022-03-20,Toys,https://www.coupang.com/vp/products/1082640,usability,소음,1,coupang
2022-03-21,Pet,https://www.coupang.com/vp/products/6083804462,fit,안먹어,1,coupang
2022-03-21,Toys,https://www.coupang.com/vp/products/1619405171,fit,맞지 않,1,coupang
2022-03-23,Toys,https://www.coupang.com/vp/products/8423286083,fit,너무 커서,1,coupang
2022-03-23,Toys,https://www.coupang.com/vp/products/8423286083,usability,소리가 너무,1,coupang
2022-03-25,Beauty,https://www.coupang.com/vp/products/573165,defect,기스,1,coupang
2022-03-25,Beauty,https://www.coupang.com/vp/products/573165,transaction,배송,1,coupang
2022-03-25,Pet,https://www.coupang.com/vp/products/6239396084,transaction,배송,1,coupang
2022-03-28,Baby,https://www.coupang.com/vp/products/8562246734,transaction,배송,1,coupang
2022-03-28,Baby,https://www.coupang.com/vp/products/8562246734,transaction,배송비,1,coupang
2022-03-28,Toys,https://www.coupang.com/vp/products/1951089309,usability,설명서,1,coupang
2022-03-28,Toys,https://www.coupang.com/vp/products/1951089309,usability,설치,1,coupang
2022-03-29,Toys,https://www.coupang.com/vp/products/19161059,defect,새는,1,coupang
2022-03-30,Appliances,https://www.coupang.com/vp/products/6962756962,usability,드라이버,1,coupang
2022-03-30,Appliances,https://www.coupang.com/vp/products/6962756962,usability,설치,1,coupang
2022-03-30,Beauty,https://www.coupang.com/vp/products/573165,fit,가려움,1,coupang
2022-03-30,Beauty,https://www.coupang.com/vp/products/573165,fit,가려워,1,coupang
2022-03-30,Beauty,https://www.coupang.com/vp/products/573165,transaction,반품,1,coupang
2022-03-31,Appliances,https://www.coupang.com/vp/products/5961000435,defect,고장,1,coupang
2022-03-31,Pet,https://www.coupang.com/vp/products/6322253831,fit,사이즈가 작,1,coupang
2022-04-01,Appliances,https://www.coupang.com/vp/products/8380195351,defect,불량,1,coupang
2022-04-02,Toys,https://www.coupang.com/vp/products/1619405171,transaction,배송,1,coupang
2022-04-04,Baby,https://www.coupang.com/vp/products/4624566001,defect,하자,1,coupang
2022-04-04,Baby,https://www.coupang.com/vp/products/4624566001,usability,설치,1,coupang
2022-04-04,Toys,https://www.coupang.com/vp/products/162796669,transaction,처리,1,coupang
2022-04-09,Toys,https://www.coupang.com/vp/products/861451,defect,내구성,1,coupang
2022-04-11,Toys,https://www.coupang.com/vp/products/5233690515,transaction,반품,1,coupang
