platform,category,product_url,review_date,avg_rating,review_count,neg_count,neg_ratio,defect_count,transaction_count,usability_count,fit_count,complaint_count,complaint_ratio
coupang,Appliances,https://www.coupang.com/vp/products/8449982562,2025-12-22,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/8449982562,2025-12-21,4.8,5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.4
coupang,Appliances,https://www.coupang.com/vp/products/8449982562,2025-12-20,5.0,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25
coupang,Appliances,https://www.coupang.com/vp/products/8449982562,2025-12-19,5.0,5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.4
coupang,Appliances,https://www.coupang.com/vp/products/8449982562,2025-12-18,4.75,4,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.75
coupang,Appliances,https://www.coupang.com/vp/products/8449982562,2025-12-17,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/306246767,2025-12-23,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/306246767,2025-12-17,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/306246767,2025-12-08,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/306246767,2025-12-07,5.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/306246767,2025-12-05,5.0,2,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/306246767,2025-11-24,5.0,2,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/306246767,2025-11-20,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/306246767,2025-11-17,5.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5
coupang,Appliances,https://www.coupang.com/vp/products/306246767,2025-11-14,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
